no.;av.pred_test;response
1;0,103294882;0
2;0,015233269;0
3;0,006193402;0
4;0,122290968;0
5;0,06206012;0
6;0,000359286;0
7;0,00214779;0
8;0,435739226;1
9;0,014946744;0
10;0,014835502;0
11;0,017779567;0
12;0,014855143;0
13;0,54655724;1
14;0,007858543;0
15;0,248221698;1
16;0,449998694;1
17;0,255317486;1
18;0,376119084;1
19;0,002986781;0
20;5,76351E-07;0
21;25,46606685;1
22;0,094333799;0
23;0,01630262;0
24;0,010370701;0
25;0,050514748;0
26;0,000146352;0
27;1,3652E-08;0
28;0,095101115;0
29;0,000461185;0
30;0,000629925;0
31;0,000585824;0
32;0,603886472;1
33;0,006213472;0
34;0,000103782;0
35;0,000661785;0
36;0,001638396;0
37;0,231948854;0
38;0,125701966;0
39;0,003879558;0
40;0,075876971;0
41;0,001309474;0
42;4,38636E-07;0
43;6,21301E-05;0
44;0,003331419;0
45;0,000202367;0
46;0,072400606;0
47;5,383E-12;0
48;1,1537E-11;0
49;0,001564156;0
50;0,003293494;0
51;0,023737544;0
52;0,609378192;1
53;0,086877678;0
54;0,000613771;0
55;0,631817716;1
56;0,001902646;0
57;0,002427149;0
58;0,005893859;0
59;0,005295136;0
60;0,000730662;0
61;0,039624868;0
62;0,002295222;0
63;4,34114E-07;0
64;0,662773371;1
65;0,000358;0
66;0,000595169;0
67;0,162446693;0
68;0,882240065;1
69;0,092006171;0
70;0,012390457;0
71;0,023085417;0
72;0,04200982;0
73;0,0003058;0
74;0,000330317;0
75;0,012650871;0
76;0,036390609;0
77;6,8509E-09;0
78;4,11521E-05;0
79;5,60446E-07;0
80;0,000633046;0
81;0,003220435;0
82;0,623965674;1
83;0,005696172;0
84;0,00782858;0
85;0,032700455;0
86;0,467303816;1
87;2,722178582;1
88;0,000232618;0
89;1,005712001;1
90;0,151301178;0
91;0,054333288;0
92;0,002433747;0
93;4,86948E-06;0
94;1,101741295;1
95;0,018531689;0
96;0,643917875;1
97;0,450914641;1
98;0,00376818;0
99;0,001602427;0
100;0;0
101;0,000619228;0
102;0,000695144;0
103;0,64250616;1
104;0,00093928;0
105;0,213403839;0
106;0,000604115;0
107;0,001253236;0
108;0,000704878;0
109;0,646538506;1
110;8,69428E-05;0
111;0,037244201;0
112;0,225519475;0
113;0,106310671;0
114;0,00051731;0
115;0,001049602;0
116;0,018172006;0
117;0,002053978;0
118;3,79585E-09;0
119;3,62131E-08;0
120;0,000122452;0
121;0,281796267;1
122;0,004422853;0
123;0,011582823;0
124;0,007196017;0
125;0,002743704;0
126;0,083540085;0
127;0,001668516;0
128;0,291800172;1
129;2,205229139;1
130;0,382565352;1
131;0,031371335;0
132;0,290175541;1
133;0,276116852;1
134;0,000336952;0
135;1,154431853;1
136;4,23357E-06;0
137;0,040276268;0
138;0,09112713;0
139;4,21314E-09;0
140;0,19666107;0
141;0,101869942;0
142;0,069521356;0
143;0,069600429;0
144;0,032073628;0
145;0,045108434;0
146;1,773839293;1
147;0,074953213;0
148;15,71514341;1
149;0,533156311;1
150;0,08357866;0
151;0,19192168;0
152;1,28336E-05;0
153;0,021745794;0
154;0,045738157;0
155;0,813731588;1
156;0,000877049;0
157;0,402664906;1
158;1,636011764;1
159;0,003639544;0
160;0,004001763;0
161;0,023458675;0
162;0,012087989;0
163;2,23871E-08;0
164;0,222536386;0
165;0,148085222;0
166;0,008950825;0
167;0,098364757;0
168;0,098093977;0
169;0,123098709;0
170;0,170668792;0
171;0,205472885;0
172;0,005772703;0
173;0,002126125;0
174;0,035289099;0
175;0,360496466;1
176;0,001300493;0
177;0,00130055;0
178;8,64456E-05;0
179;0,207910516;0
180;0,275385798;1
181;0,178242675;0
182;0,000403653;0
183;0,010726926;0
184;1,646384974;1
185;1,237498253;1
186;0,000662595;0
187;1,768801629;1
188;0,001626592;0
189;0,001757274;0
190;0,156211702;0
191;0,156318782;0
192;4,18299E-05;0
193;0,177897196;0
194;0,140111053;0
195;0,000281849;0
196;0,079487897;0
197;0,022368901;0
198;0,312159076;1
199;0,003624334;0
200;0,031203992;0
201;0,001653704;0
202;0,000302164;0
203;0,000611108;0
204;0,000596946;0
205;0,00059727;0
206;0,000591738;0
207;0,000612762;0
208;0,000599555;0
209;0,000597718;0
210;0,024540297;0
211;7,7579E-08;0
212;0,727501352;1
213;7,75261E-05;0
214;0,019814845;0
215;0,041197289;0
216;0,023445213;0
217;0,027051533;0
218;0,113659666;0
219;0,020554763;0
220;0,001647195;0
221;0,001316738;0
222;0,348358161;1
223;1,58245E-08;0
224;0,025048964;0
225;0,020461237;0
226;0,003010558;0
227;0,495519227;1
228;0,083583237;0
229;6,35522E-06;0
230;0,150484589;0
231;0,001970568;0
232;0,00315626;0
233;0,021073133;0
234;0,099171502;0
235;0,016353389;0
236;0,005958793;0
237;0,003331439;0
238;0,249295967;1
239;0,01056982;0
240;0,240653307;0
241;0,395854324;1
242;0,46886789;1
243;0,290438037;1
244;0,109992547;0
245;0,245533808;1
246;0,053148413;0
247;0,034842842;0
248;0,034842842;0
249;0,034842842;0
250;0,033391729;0
251;8,06E-13;0
252;0,018029068;0
253;0,018112501;0
254;0,018191321;0
255;0,01819596;0
256;0,029475863;0
257;0,029478329;0
258;0,191785821;0
259;0,020843107;0
260;0,043088648;0
261;4,71388E-08;0
262;1,81793E-08;0
263;0,79225125;1
264;0,019610328;0
265;0,023180396;0
266;0,121013628;0
267;0,280961641;1
268;0,05425617;0
269;0,004597901;0
270;0,028178557;0
271;0,000931323;0
272;0,742167886;1
273;0,061864881;0
274;0,061864881;0
275;0,16274623;0
276;0,061864881;0
277;0,331117463;1
278;0,484709683;1
279;0,048979204;0
280;0,007127985;0
281;5,85395E-10;0
282;0,061489135;0
283;0,061423474;0
284;0,015613531;0
285;0,073937005;0
286;0,450276804;1
287;0,438736998;1
288;8,40581E-05;0
289;0,00694209;0
290;0,001048877;0
291;0,002174679;0
292;3,47347E-06;0
293;0,21836753;0
294;0,014374372;0
295;0,157889608;0
296;0,14167439;0
297;0,002325386;0
298;3,513584194;1
299;0,00041927;0
300;0,596141481;1
301;0,246327116;1
302;0,003271904;0
303;0,004777274;0
304;0,241669746;0
305;0,001306975;0
306;0,006992536;0
307;0,003463761;0
308;0,061782444;0
309;0,547743297;1
310;0,002381917;0
311;0,001573863;0
312;0,250336204;1
313;0,001533127;0
314;0,721776587;1
315;0,086124975;0
316;0,007245497;0
317;0,006927756;0
318;2,6796E-07;0
319;1,451281834;1
320;1,40565973;1
321;0,000569885;0
322;0,004583947;0
323;0,196064475;0
324;0,460385914;1
325;0,008141275;0
326;0,004480993;0
327;0,003763085;0
328;0,003028385;0
329;0,000272433;0
330;0,00181454;0
331;0,001447755;0
332;0,000496008;0
333;0,00289685;0
334;0,005232066;0
335;0,001133642;0
336;0,001008645;0
337;0,000495796;0
338;0,004611778;0
339;0,000273089;0
340;0,001575235;0
341;0,001494595;0
342;0,002900062;0
343;0,004821007;0
344;0,00129033;0
345;0,00330516;0
346;0,013528843;0
347;0,561231591;1
348;0,499714483;1
349;0,000431359;0
350;0,00764066;0
